"                 /;.,   3 ",UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Fornecedor,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,"Pagamento? 
Sim / Não",OBS:
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Escopo COMERC - Segurança,Mori,0,231000,0,0,0.0,0.0,0.0,231000.0,0.0,231000.0,231000.0,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Conexão MT - Obras Transferencia,Mori,Engeluz,3677500,1070080.4,0,0.0,0.0,0.0,4747580.4,1711832.92,3035747.48,4747580.4,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Bases de Contaniers,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção - Ase Engenharia,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Full EPC - Contrato Sobressalentes,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção - NOVA MORADA,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Equipamentos Curva A -  Contrato Sobressalentes - SETTA,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Equipamentos Curva A -  Contrato Sobressalentes - Arctech,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Equipamentos Curva A -  Contrato Sobressalentes - Romagnole,Mori,Onix,72399.64,90503.03,0,0.0,0.0,0.0,162902.66999999998,0.0,162902.66999999998,162902.66999999998,0.0,1.0,,
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,GOS FLORESTAL - (PRAD - Recuperação Area Ambiental),Mori,Gos Florestal,426240,,0,0.0,0.0,0.0,426240.0,0.0,426240.0,426240.0,0.0,1.0,S,GOS  -  Esse refere-se ao Contrato aprovado junto com acerto das Drenagens
